,First Term,Second Term
0,or,in
1,radiological,nuclear
2,secretaries,chairman
3,civilian,activities
4,security,national
5,reenlistment,bonuses
6,voluntary,may
7,simulation,modeling
8,video,television
9,reports,coordination
10,gold,button
11,owned,operated
12,security,activity
13,war,act
14,may,duty
15,test,evaluation
16,states,operations
17,plan,guidance
18,incentive,bonus
19,grades,grade
20,commanders,combatant
21,keeper,gate
22,operational,cost
23,operations,medical
24,gi,bill
25,bonuses,bonus
26,screening,analysis
27,september,june
28,retired,file
29,november,december
30,logistics,headquarters
31,review,mandatory
32,force,air
33,materiel,clearance
34,funded,certified
35,readiness,manpower
36,logistics,agency
37,operational,administration
38,materials,equipment
39,criteria,authority
40,on,drug
41,support,medical
42,prevention,mitigation
43,rules,protection
44,november,january
45,construction,acquisition
46,compliance,access
47,production,engineering
48,pest,applicator
49,organizations,activities
50,definitions,acronyms
51,representation,publication
52,unique,identification
53,may,decision
54,lady,funerals
55,effective,date
56,personal,control
57,states,guard
58,officer,chief
59,district,columbia
60,video,audio
61,monetary,clothing
62,use,government
63,reproduction,printing
64,july,august
65,university,national
66,manual,instruction
67,threat,deputy
68,offenses,fraud
69,titling,indexing
70,security,acquisition
71,workforce,certification
72,publication,products
73,government,card
74,national,bureau
75,owned,controlled
76,review,reporting
77,overseas,other
78,pay,file
79,guidelines,guidance
80,contract,audit
81,workforce,reporting
82,management,certification
83,fully,duty
84,purple,heart
85,stripes,stars
86,states,bureau
87,review,processing
88,personal,card
89,may,march
90,pentagon,national
91,harm,abuse
92,guidance,clearance
93,positions,activities
94,clothing,allowances
95,medals,expeditionary
96,service,reduction
97,involving,fraud
98,fuel,energy
99,october,august
100,interment,deceased
101,process,certification
102,duty,commissioned
103,system,services
104,may,area
105,identification,benefits
106,theater,deployment
107,officer,act
108,servicemembers,life
109,safety,explosives
110,review,activities
111,studies,base
112,security,resources
113,type,category
114,national,headquarters
115,protest,dissident
116,television,radio
117,support,response
118,under,president
119,foreign,forces
120,programs,positions
121,shelter,homeless
122,safety,quality
123,year,fiscal
124,implementing,guidance
125,in,by
126,system,council
127,from,as
128,programming,planning
129,treaty,organization
130,planning,budgeting
131,fitness,body
132,with,or
133,oversight,development
134,evaluation,assessment
135,resources,programs
136,committee,card
137,opportunity,equal
138,fourth,estate
139,processing,board
140,purchase,card
141,status,duty
142,urgent,rapid
143,revitalizing,communities
144,protection,office
145,programming,budgeting
146,representation,products
147,inspector,counsel
148,publication,managing
149,operations,command
150,benefits,assessment
151,support,activities
152,federal,executive
153,departments,agencies
154,exhibits,artwork
155,states,command
156,search,rescue
157,or,by
158,limited,distribution
159,staff,joint
160,scholarships,fellowships
161,special,services
162,servicemembers,insurance
163,programs,education
164,secretary,deputy
165,special,operations
166,nonappropriated,fund
167,discrimination,complaints
168,nation,host
169,personnel,education
170,guard,bureau
171,senior,law
172,evaluation,development
173,educational,appointment
174,personnel,installations
175,remedies,related
176,services,service
177,operational,evaluation
178,process,planning
179,cost,construction
180,owned,inventions
181,medical,facility
182,investigative,criminal
183,welfare,recreation
184,secretaries,assistant
185,october,march
186,systems,protection
187,september,may
188,timing,navigation
189,educational,benefits
190,sites,law
191,issuance,instruction
192,united,forces
193,equipment,engineering
194,system,programs
195,reporting,performance
196,principles,parameters
197,quality,performance
198,involving,from
199,staff,chiefs
200,september,october
201,weapons,nuclear
202,maintenance,control
203,biosecurity,biosafety
204,name,domain
205,checks,background
206,officers,officer
207,picture,motion
208,acquisition,accounting
209,program,process
210,that,in
211,evaluation,construction
212,geneva,conventions
213,review,board
214,kong,hong
215,medical,committee
216,personnel,actions
217,technology,installations
218,into,in
219,terrorism,espionage
220,publication,identity
221,support,programs
222,submission,approval
223,components,component
224,force,executive
225,postal,mail
226,services,programs
227,rules,remedies
228,human,activity
229,in,force
230,washington,national
231,treatment,food
232,navy,army
233,programs,program
234,state,enforcement
235,organization,mission
236,allowances,allowance
237,processing,performance
238,this,as
239,low,intensity
240,state,law
241,on,code
242,october,may
243,signs,artwork
244,reenlistment,bonus
245,orders,order
246,lapel,button
247,positioning,navigation
248,program,management
249,storage,control
250,personnel,accounting
251,may,june
252,requirements,certification
253,on,facility
254,services,headquarters
255,january,december
256,views,proclamations
257,ordered,alien
258,politically,assertions
259,attorneys,actions
260,programs,activities
261,disclosure,act
262,privacy,act
263,trafficking,combating
264,requirements,process
265,interfaces,implementation
266,overseas,forces
267,enlistment,appointment
268,system,performance
269,united,guard
270,personal,access
271,terms,publication
272,reconnaissance,office
273,lapel,gold
274,under,secretary
275,overseas,operations
276,expeditionary,campaign
277,release,disclosure
278,execution,budgeting
279,headquarters,directorate
280,core,capabilities
281,may,august
282,exchange,commissary
283,survivor,annuity
284,services,resources
285,office,law
286,official,law
287,that,by
288,standards,procedures
289,through,committee
290,under,deputy
291,through,by
292,tribes,interactions
293,september,march
294,mil,may
295,compliance,assessment
296,parole,clemency
297,november,may
298,response,education
299,other,involving
300,training,management
301,strategy,operational
302,programs,medical
303,june,july
304,intragovernmental,intergovernmental
305,manual,directive
306,program,plan
307,bodies,august
308,recognized,federally
309,through,facility
310,march,june
311,resolution,dispute
312,maintenance,construction
313,star,gold
314,security,central
315,that,or
316,united,bureau
317,october,july
318,june,december
319,system,executive
320,planning,execution
321,public,law
322,personnel,emergency
323,material,government
324,terrorism,combating
325,federal,drug
326,assessment,analysis
327,montgomery,gi
328,officers,duty
329,protection,identity
330,involving,in
331,law,installations
332,scholarships,twi
333,foreign,authorized
334,review,management
335,government,federal
336,september,july
337,office,accounting
338,financial,comptroller
339,through,designation
340,tribes,recognized
341,installations,acquisition
342,technical,quality
343,construction,assessment
344,standards,guidelines
345,dependents,benefits
346,performance,committee
347,trusted,achieve
348,interrogations,debriefings
349,members,career
350,commercial,authorization
351,washington,logistics
352,standards,guidance
353,test,operational
354,review,records
355,senior,executive
356,agreements,administration
357,item,cycle
358,engaged,attorney
359,executive,board
360,war,type
361,july,december
362,materiel,management
363,radiation,ionizing
364,principles,analysis
365,native,hawaiian
366,make,maintain
367,verification,publication
368,special,other
369,yellow,ribbon
370,program,performance
371,order,conduct
372,from,by
373,trademark,licensing
374,expertise,culture
375,other,in
376,testing,drug
377,on,from
378,other,authority
379,through,in
380,review,approval
381,november,june
382,contractors,actions
383,leadership,field
384,production,development
385,strategic,bureau
386,law,criminal
387,volume,instruction
388,readiness,affairs
389,newspapers,magazines
390,response,programs
391,navy,force
392,services,security
393,engineering,education
394,law,federal
395,identification,application
396,requirements,collection
397,process,management
398,national,central
399,national,force
400,sensitive,compartmented
401,system,management
402,grade,commissioned
403,repayment,loan
404,intelligence,agency
405,treatment,remedies
406,signs,exhibits
407,community,analysis
408,radiation,electromagnetic
409,through,from
410,standards,implementation
411,response,incident
412,model,designation
413,foreign,federal
414,standards,management
415,transfer,release
416,originating,line
417,studies,engineering
418,treaty,atlantic
419,pesticide,applicator
420,on,by
421,implementation,countering
422,oversight,implementation
423,technology,acquisition
424,uniformed,law
425,operational,acquisition
426,training,standards
427,train,equip
428,land,based
429,resources,projects
430,independent,development
431,owned,domestic
432,implementation,guidance
433,conventional,ammunition
434,resources,executive
435,evaluation,cost
436,federal,board
437,pentagon,deputy
438,agencies,activities
439,instruction,directive
440,programs,activity
441,operational,assessment
442,subpart,part
443,explosives,ammunition
444,standards,activities
445,september,december
446,financial,act
447,february,august
448,temporary,retirement
449,secretaries,deputy
450,or,from
451,publication,decorations
452,law,act
453,office,national
454,psychological,mental
455,law,enforcement
456,june,august
457,officer,executive
458,requirements,management
459,north,atlantic
460,war,law
461,pair,airline
462,trait,sickle
463,program,certification
464,range,facility
465,ready,member
466,service,headquarters
467,processing,access
468,secretarial,designee
469,secretary,assistant
470,providers,claims
471,operational,construction
472,systems,system
473,training,requirements
474,cards,card
475,finance,accounting
476,thereof,lieu
477,treatment,expense
478,oversight,council
479,cohen,clinger
480,survivor,benefit
481,pentagon,agencies
482,public,disclosure
483,may,december
484,tribes,federally
485,this,conduct
486,test,assessment
487,sections,section
488,monetary,allowances
489,engineering,development
490,restricted,formerly
491,economic,adjustment
492,card,board
493,skills,reenlistment
494,objects,illumination
495,services,medical
496,service,medical
497,on,force
498,process,plan
499,personally,dissemination
500,records,activities
501,system,medical
502,office,act
503,with,by
504,may,based
505,office,executive
506,washington,headquarters
507,support,positions
508,on,in
509,survivors,gratuity
510,life,cycle
511,privacy,financial
512,radio,mobile
513,acronyms,abbreviations
514,september,august
515,deputy,assistant
516,october,december
517,march,july
518,through,decision
519,in,from
520,reporting,processing
521,product,core
522,officers,commissioned
523,domain,directive
524,skills,bonuses
525,november,august
526,table,figure
527,retired,pay
528,research,engineering
529,on,federal
530,resources,acquisition
531,senior,office
532,categories,assignment
533,installations,enforcement
534,washington,directorate
535,december,august
536,pesticide,pest
537,enterprise,control
538,number,instruction
539,travel,pay
540,from,force
541,non,motion
542,training,education
543,review,assistance
544,programming,execution
545,item,code
546,united,strategic
547,system,facility
548,identity,analysis
549,service,executive
550,commands,combatant
551,support,operations
552,selection,assignment
553,strategic,national
554,program,governance
555,march,december
556,state,federal
557,this,order
558,timing,positioning
559,test,cost
560,united,command
561,quality,energy
562,naturalization,alien
563,maps,magazines
564,review,authority
565,this,document
566,cost,assessment
567,eligibility,criteria
568,supreme,court
569,prevention,fitness
570,interoperability,implementation
571,january,august
572,welfare,morale
573,medical,center
574,verification,identity
575,under,assistant
576,chemical,acquisition
577,that,on
578,montgomery,bill
579,order,disclosure
580,r.,christopher
581,improvised,explosive
582,resources,activity
583,records,access
584,field,directive
585,within,in
586,system,program
587,implementation,guidelines
588,on,decision
589,enlistment,bonuses
590,property,by
591,fiscal,authorization
592,training,certification
593,november,july
594,november,march
595,military,funeral
596,performance,management
597,with,in
598,purchase,government
